,model_step,node_id,lmp,available_capacity,queue_size_normalized_by_capacity,num_projects,congestion_indicator,mw_threshold_1,mw_threshold_2,installed_capacity,new_eris_count,new_nris_count,new_dropped_out,dropped_out_eris_count,dropped_out_nris_count,dropped_out_eris_mw,dropped_out_nris_mw,dropped_out_mw,total_pending_count,pending_eris_count,pending_nris_count,pending_mw,pending_eris_mw,pending_nris_mw,total_online_count,online_eris_count,online_nris_count,online_mw,online_eris_mw,online_nris_mw,avg_cost_eris_dropped_out,avg_cost_nris_dropped_out,avg_cost_eris_pending,avg_cost_nris_pending,avg_cost_eris_online,avg_cost_nris_online,avg_construction_time,avg_study_time
62,4,3,[32.33],4447.250000000001,1.3598160305626645,0,12.069785955639626,2223.6250000000005,3335.437500000001,11318.65,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,5,14,534.25,120.9,413.35,0.0,0.0,0.0,0.0,0,0,,
63,4,4,[31.47],7453.900000000001,0.8073584702975615,46,12.113438607798905,5453.900000000001,16361.7,9309.0,6,40,37,4,33,864.0,4496.97,5360.97,48,5,43,1493.25,75.15,1418.1,0,0,0,0.0,0.0,0.0,383.3117061311306,479.13963266391323,168.21686083057668,210.27107603822083,0,0,3.1309256948809665,1.8695652173913044
64,4,5,[40.11],1519.0,0.3070257238383333,12,15.507190415538929,759.5,1139.25,4619.7,3,9,10,3,7,290.0,1690.7,1980.7,2,0,2,150.0,0.0,150.0,4,0,4,223.0,0.0,223.0,347.3156853292519,434.14460666156486,0.0,134.97099574911383,0,0,1.504970995749114,1.75
65,4,6,[25.55],11608.839999999998,0.9935132236728103,68,10.61852129938238,5804.419999999999,8706.63,32792.96000000001,14,54,55,11,44,2209.2,7239.69,9448.89,27,3,24,867.4,46.0,821.4,31,5,26,2207.66,237.0,1970.66,431.83790837281447,539.7973854660182,113.90086294513996,142.37607868142496,0,0,0.1658048750499746,1.7941176470588236
66,4,7,[32.69],2205.1,2.1971189362226053,25,17.115488795863087,205.10000000000002,615.3000000000001,1624.4,3,22,22,3,19,550.0,2456.46,3006.46,3,0,3,107.0,0.0,107.0,0,0,0,0.0,0.0,0.0,596.0667933858757,745.0834917323447,0.0,194.16450691970795,0,0,3.7641645069197076,1.88
67,4,8,[31.28],3045.1000000000004,0.4445670540363461,0,13.093966488499596,1522.5500000000002,2283.8250000000003,3165.7,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,11,0,11,265.8,0.0,265.8,0.0,0.0,0.0,0.0,0,0,,
68,4,9,[37.02],10530.300000000001,1.5199655083211174,0,0.8415969647322583,10530.300000000001,31590.9,28992.5,0,0,0,0,0,0.0,0.0,0.0,2,2,0,50.0,50.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
69,4,10,[31.36],507.6,1.7495717576640613,0,12.640532398747762,507.6,1522.8000000000002,5078.9,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
70,4,11,[30.97],1550.2,0.13139122831239358,0,9.848589442680288,1550.2,4650.6,2172.9,0,0,0,0,0,0.0,0.0,0.0,11,0,11,246.0,0.0,246.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
71,4,12,[30.64],930.0,2.9440044411547,0,10.399703923019986,930.0,2790.0,2702.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
72,4,13,[27.57],824.6,4.213717305786613,62,13.78336986877271,824.6,2473.8,3330.1,11,51,48,8,40,873.89,6038.15,6912.04,14,3,11,422.4,51.0,371.4,0,0,0,0.0,0.0,0.0,468.783145741801,585.9789321772512,156.00215360000414,195.0026920000051,0,0,1.8666454337714335,1.8225806451612903
